,block,value,game,participant,condition,experiment,dyad,mapping,group
508,3,21.0,2,j05_p1,social,3.0,j05,d,game 2 social
509,3,19.0,2,j05_p2,social,3.0,j05,d,game 2 social
510,3,24.0,2,j06_p1,social,3.0,j06,d,game 2 social
511,3,14.0,2,j06_p2,social,3.0,j06,d,game 2 social
512,3,30.0,2,j07_p1,social,3.0,j07,d,game 2 social
513,3,21.0,2,j07_p2,social,3.0,j07,d,game 2 social
514,3,30.0,2,j08_p1,social,3.0,j08,d,game 2 social
515,3,30.0,2,j08_p2,social,3.0,j08,d,game 2 social
516,3,13.0,2,j10_p1,social,3.0,j10,s,game 2 social
517,3,26.0,2,j10_p2,social,3.0,j10,s,game 2 social
518,3,23.0,2,j11_p1,social,3.0,j11,s,game 2 social
519,3,30.0,2,j11_p2,social,3.0,j11,s,game 2 social
520,3,24.0,2,m01_p1,social,4.0,m01,d,game 2 social
521,3,18.0,2,m01_p2,social,4.0,m01,d,game 2 social
522,3,7.0,2,m03_p1,social,4.0,m03,d,game 2 social
523,3,11.0,2,m03_p2,social,4.0,m03,d,game 2 social
524,3,7.0,2,m05_p1,social,4.0,m05,d,game 2 social
525,3,24.0,2,m05_p2,social,4.0,m05,d,game 2 social
526,3,28.0,2,m08_p1,social,4.0,m08,s,game 2 social
527,3,30.0,2,m08_p2,social,4.0,m08,s,game 2 social
528,3,17.0,2,m10_p1,social,4.0,m10,s,game 2 social
529,3,25.0,2,m10_p2,social,4.0,m10,s,game 2 social
530,3,30.0,2,m11_p1,social,4.0,m11,s,game 2 social
531,3,30.0,2,m11_p2,social,4.0,m11,s,game 2 social
532,3,15.0,2,m13_p1,social,4.0,m13,s,game 2 social
533,3,21.0,2,m13_p2,social,4.0,m13,s,game 2 social
534,3,9.0,2,m14_p1,social,4.0,m14,s,game 2 social
535,3,10.0,2,m14_p2,social,4.0,m14,s,game 2 social
