,variable,value,trial
905,m10_p2_g1,2,5
906,m10_p2_g1,2,6
907,m10_p2_g1,2,7
908,m10_p2_g1,2,8
909,m10_p2_g1,3,9
910,m10_p2_g1,3,10
911,m10_p2_g1,3,11
912,m10_p2_g1,4,12
913,m10_p2_g1,4,13
914,m10_p2_g1,4,14
915,m10_p2_g1,4,15
916,m10_p2_g1,5,16
917,m10_p2_g1,5,17
918,m10_p2_g1,5,18
919,m10_p2_g1,5,19
920,m10_p2_g1,5,20
921,m10_p2_g1,6,21
922,m10_p2_g1,6,22
923,m10_p2_g1,6,23
924,m10_p2_g1,7,24
925,m10_p2_g1,8,25
926,m10_p2_g1,8,26
927,m10_p2_g1,8,27
928,m10_p2_g1,8,28
