,value,trial,game,participant,condition,experiment,dyad,mapping
437,7.0,37,1,c06_p1,control,4.0,c06,d
438,8.0,38,1,c06_p1,control,4.0,c06,d
439,8.0,39,1,c06_p1,control,4.0,c06,d
440,8.0,40,1,c06_p1,control,4.0,c06,d
441,8.0,41,1,c06_p1,control,4.0,c06,d
442,8.0,42,1,c06_p1,control,4.0,c06,d
443,8.0,43,1,c06_p1,control,4.0,c06,d
444,8.0,44,1,c06_p1,control,4.0,c06,d
445,8.0,45,1,c06_p1,control,4.0,c06,d
446,9.0,46,1,c06_p1,control,4.0,c06,d
447,9.0,47,1,c06_p1,control,4.0,c06,d
448,9.0,48,1,c06_p1,control,4.0,c06,d
449,9.0,49,1,c06_p1,control,4.0,c06,d
450,10.0,50,1,c06_p1,control,4.0,c06,d
451,11.0,51,1,c06_p1,control,4.0,c06,d
452,11.0,52,1,c06_p1,control,4.0,c06,d
453,11.0,53,1,c06_p1,control,4.0,c06,d
454,11.0,54,1,c06_p1,control,4.0,c06,d
455,11.0,55,1,c06_p1,control,4.0,c06,d
456,11.0,56,1,c06_p1,control,4.0,c06,d
457,12.0,57,1,c06_p1,control,4.0,c06,d
458,12.0,58,1,c06_p1,control,4.0,c06,d
459,12.0,59,1,c06_p1,control,4.0,c06,d
460,13.0,60,1,c06_p1,control,4.0,c06,d
461,13.0,61,1,c06_p1,control,4.0,c06,d
462,13.0,62,1,c06_p1,control,4.0,c06,d
463,14.0,63,1,c06_p1,control,4.0,c06,d
464,15.0,64,1,c06_p1,control,4.0,c06,d
465,15.0,65,1,c06_p1,control,4.0,c06,d
466,15.0,66,1,c06_p1,control,4.0,c06,d
467,16.0,67,1,c06_p1,control,4.0,c06,d
468,17.0,68,1,c06_p1,control,4.0,c06,d
469,18.0,69,1,c06_p1,control,4.0,c06,d
470,18.0,70,1,c06_p1,control,4.0,c06,d
471,18.0,71,1,c06_p1,control,4.0,c06,d
472,18.0,72,1,c06_p1,control,4.0,c06,d
473,19.0,73,1,c06_p1,control,4.0,c06,d
474,19.0,74,1,c06_p1,control,4.0,c06,d
475,19.0,75,1,c06_p1,control,4.0,c06,d
476,20.0,76,1,c06_p1,control,4.0,c06,d
477,20.0,77,1,c06_p1,control,4.0,c06,d
478,20.0,78,1,c06_p1,control,4.0,c06,d
479,20.0,79,1,c06_p1,control,4.0,c06,d
480,21.0,80,1,c06_p1,control,4.0,c06,d
481,22.0,81,1,c06_p1,control,4.0,c06,d
482,23.0,82,1,c06_p1,control,4.0,c06,d
483,23.0,83,1,c06_p1,control,4.0,c06,d
484,23.0,84,1,c06_p1,control,4.0,c06,d
485,24.0,85,1,c06_p1,control,4.0,c06,d
486,24.0,86,1,c06_p1,control,4.0,c06,d
487,24.0,87,1,c06_p1,control,4.0,c06,d
488,24.0,88,1,c06_p1,control,4.0,c06,d
489,25.0,89,1,c06_p1,control,4.0,c06,d
490,25.0,90,1,c06_p1,control,4.0,c06,d
491,25.0,91,1,c06_p1,control,4.0,c06,d
492,26.0,92,1,c06_p1,control,4.0,c06,d
493,26.0,93,1,c06_p1,control,4.0,c06,d
494,26.0,94,1,c06_p1,control,4.0,c06,d
495,26.0,95,1,c06_p1,control,4.0,c06,d
496,27.0,96,1,c06_p1,control,4.0,c06,d
497,28.0,97,1,c06_p1,control,4.0,c06,d
498,28.0,98,1,c06_p1,control,4.0,c06,d
499,28.0,99,1,c06_p1,control,4.0,c06,d
500,0.0,0,1,c07_p1,control,4.0,c07,d
